params,games,time
10_0.75_0.75_1_[2]_proportional_averaging,17,24.595725774765015
20_0.75_0.75_1_[2]_proportional_averaging,52,135.41899037361145
30_0.75_0.75_1_[2]_proportional_averaging,423,1254.6300439834595
40_0.75_0.75_1_[2]_proportional_averaging,202,168.7285714149475
50_0.75_0.75_1_[2]_proportional_averaging,83,66.01021790504456
60_0.75_0.75_1_[2]_proportional_averaging,197,2885.9737532138824
70_0.75_0.75_1_[2]_proportional_averaging,149,116.26067924499512
80_0.75_0.75_1_[2]_proportional_averaging,107,65.93482661247253
90_0.75_0.75_1_[2]_proportional_averaging,83,51.75645184516907
100_0.75_0.75_1_[2]_proportional_averaging,324,394.3074805736542
10_0.75_0.75_1_[2]_proportional_averaging,265,818.2166216373444
20_0.75_0.75_1_[2]_proportional_averaging,27,36.374675273895264
30_0.75_0.75_1_[2]_proportional_averaging,157,284.5206141471863
40_0.75_0.75_1_[2]_proportional_averaging,62,48.98035764694214
50_0.75_0.75_1_[2]_proportional_averaging,67,50.888813972473145
60_0.75_0.75_1_[2]_proportional_averaging,153,148.11488938331604
70_0.75_0.75_1_[2]_proportional_averaging,98,82.73317360877991
80_0.75_0.75_1_[2]_proportional_averaging,128,91.93569111824036
90_0.75_0.75_1_[2]_proportional_averaging,110,74.64781975746155
100_0.75_0.75_1_[2]_proportional_averaging,259,166.55427432060242
10_0.75_0.75_1_[2]_proportional_averaging,40,47.653552770614624
20_0.75_0.75_1_[2]_proportional_averaging,101,106.37808108329773
30_0.75_0.75_1_[2]_proportional_averaging,129,121.54403877258301
40_0.75_0.75_1_[2]_proportional_averaging,159,162.40403032302856
50_0.75_0.75_1_[2]_proportional_averaging,131,173.8102970123291
60_0.75_0.75_1_[2]_proportional_averaging,10,21.316195726394653
70_0.75_0.75_1_[2]_proportional_averaging,309,281.26677894592285
80_0.75_0.75_1_[2]_proportional_averaging,103,78.48997688293457
90_0.75_0.75_1_[2]_proportional_averaging,230,190.41662335395813
100_0.75_0.75_1_[2]_proportional_averaging,151,112.30351853370667
10_0.75_0.75_1_[2]_proportional_averaging,141,1710.8685727119446
20_0.75_0.75_1_[2]_proportional_averaging,90,148.52974915504456
30_0.75_0.75_1_[2]_proportional_averaging,187,262.962069272995
40_0.75_0.75_1_[2]_proportional_averaging,184,265.32903933525085
50_0.75_0.75_1_[2]_proportional_averaging,361,395.7033007144928
60_0.75_0.75_1_[2]_proportional_averaging,163,161.91060781478882
70_0.75_0.75_1_[2]_proportional_averaging,94,71.75147128105164
80_0.75_0.75_1_[2]_proportional_averaging,111,81.91805744171143
90_0.75_0.75_1_[2]_proportional_averaging,264,222.76505255699158
100_0.75_0.75_1_[2]_proportional_averaging,155,100.86051273345947
10_0.75_0.75_1_[2]_proportional_averaging,136,569.1208503246307
20_0.75_0.75_1_[2]_proportional_averaging,90,81.1471016407013
30_0.75_0.75_1_[2]_proportional_averaging,203,256.404736995697
40_0.75_0.75_1_[2]_proportional_averaging,84,53.710304975509644
50_0.75_0.75_1_[2]_proportional_averaging,108,96.61427235603333
60_0.75_0.75_1_[2]_proportional_averaging,237,137.75779604911804
70_0.75_0.75_1_[2]_proportional_averaging,173,202.1620647907257
80_0.75_0.75_1_[2]_proportional_averaging,196,155.2000482082367
90_0.75_0.75_1_[2]_proportional_averaging,211,152.27421355247498
100_0.75_0.75_1_[2]_proportional_averaging,244,211.95199513435364
