generation,best_fitness,mean_fitness
0,83.0,16.9
1,210.0,44.4
2,362.0,61.5
3,107.0,46.35
4,222.0,54.2
5,179.0,59.45
6,196.0,86.55
7,175.0,75.4
8,170.0,72.55
9,206.0,69.5
10,256.0,96.5
11,312.0,132.15
12,249.0,93.4
13,237.0,83.15
14,284.0,125.65
15,286.0,108.65
16,356.0,126.0
17,349.0,105.75
18,594.0,160.5
19,753.0,174.85
20,1000.0,207.3
