generation,best_fitness,mean_fitness
0,10.0,8.7
1,10.0,8.1
2,34.0,10.7
3,31.0,13.8
4,40.0,16.2
5,55.0,21.9
6,99.0,38.6
7,146.0,80.5
8,193.0,96.6
9,189.0,85.3
10,128.0,83.6
11,157.0,83.0
12,122.0,67.6
13,153.0,84.6
14,172.0,104.5
15,371.0,137.6
16,585.0,173.9
17,1000.0,285.9
