88,0.01029135882494263,10,8,11.579545454545455,34
89,0.01,12,8,11.584269662921349,34
90,0.01,10,8,11.566666666666666,34
91,0.01,10,8,11.54945054945055,34
92,0.01,8,8,11.51086956521739,34
93,0.01,9,8,11.483870967741936,34
94,0.01,10,8,11.46808510638298,34
95,0.01,10,8,11.452631578947368,34
96,0.01,9,8,11.427083333333334,34
97,0.01,10,8,11.412371134020619,34
98,0.01,10,8,11.39795918367347,34
99,0.01,10,8,11.383838383838384,34
100,0.01,9,8,11.36,34
101,0.01,10,8,11.36,34
102,0.01,9,8,11.29,34
103,0.01,9,8,11.21,34
104,0.01,9,8,11.13,34
105,0.01,9,8,11.05,34
106,0.01,10,8,11.04,34
107,0.01,9,8,10.91,34
108,0.01,9,8,10.86,34
109,0.01,9,8,10.85,34
110,0.01,10,8,10.83,34
111,0.01,9,8,10.8,34
112,0.01,9,8,10.76,34
113,0.01,9,8,10.74,34
114,0.01,10,8,10.74,34
115,0.01,10,8,10.72,34
116,0.01,9,8,10.67,34
117,0.01,10,8,10.64,34
118,0.01,11,8,10.66,34
119,0.01,10,8,10.66,34
120,0.01,10,8,10.62,34
121,0.01,9,8,10.62,34
122,0.01,8,8,10.6,34
123,0.01,10,8,10.54,34
124,0.01,10,8,10.56,34
125,0.01,10,8,10.55,34
126,0.01,10,8,10.54,34
127,0.01,9,8,10.48,34
128,0.01,9,8,10.44,34
129,0.01,9,8,10.38,34
130,0.01,16,8,10.41,34
131,0.01,10,8,10.41,34
132,0.01,10,8,10.41,34
133,0.01,12,8,10.42,34
134,0.01,9,8,10.42,34
135,0.01,10,8,10.41,34
136,0.01,13,8,10.46,34
137,0.01,10,8,10.47,34
138,0.01,10,8,10.47,34
139,0.01,8,8,10.43,34
140,0.01,9,8,10.41,34
141,0.01,8,8,10.38,34
142,0.01,9,8,10.38,34
143,0.01,19,8,10.46,34
144,0.01,10,8,10.47,34
145,0.01,9,8,10.46,34
146,0.01,36,8,10.73,36
147,0.01,46,8,11.08,46
148,0.01,43,8,11.41,46
149,0.01,56,8,11.88,56
150,0.01,20,8,11.98,56
151,0.01,43,8,12.32,56
152,0.01,41,8,12.62,56
153,0.01,17,8,12.69,56
154,0.01,24,8,12.83,56
155,0.01,59,8,13.31,59
156,0.01,45,8,13.67,59
157,0.01,18,8,13.76,59
158,0.01,10,8,13.76,59
159,0.01,16,8,13.83,59
160,0.01,24,8,13.97,59
161,0.01,16,8,14.03,59
162,0.01,30,8,14.23,59
163,0.01,53,8,14.68,59
164,0.01,20,8,14.79,59
165,0.01,20,8,14.9,59
166,0.01,18,8,14.98,59
167,0.01,15,8,15.05,59
168,0.01,18,8,15.13,59
169,0.01,11,8,15.15,59
170,0.01,46,8,15.52,59
171,0.01,45,8,15.88,59
172,0.01,40,8,16.18,59
173,0.01,39,8,16.47,59
174,0.01,35,8,16.72,59
175,0.01,24,8,16.87,59
176,0.01,51,8,17.28,59
177,0.01,20,8,17.38,59
178,0.01,42,8,17.69,59
179,0.01,59,8,18.19,59
180,0.01,89,8,18.94,89
181,0.01,79,8,19.53,89
182,0.01,37,8,19.56,89
183,0.01,26,8,19.56,89
184,0.01,31,8,19.71,89
185,0.01,24,8,19.81,89
186,0.01,43,8,20.13,89
187,0.01,60,8,20.62,89
188,0.01,54,8,21.06,89
189,0.01,78,8,21.72,89
190,0.01,52,8,22.14,89
191,0.01,50,8,22.54,89
192,0.01,51,8,22.97,89
193,0.01,79,8,23.67,89
194,0.01,70,8,24.27,89
195,0.01,48,8,24.65,89
196,0.01,78,8,25.34,89
197,0.01,47,8,25.71,89
198,0.01,76,8,26.37,89
199,0.01,88,8,27.15,89
200,0.01,94,8,28,94
201,0.01,70,8,28.6,94
202,0.01,109,8,29.6,109
203,0.01,83,8,30.34,109
204,0.01,96,8,31.21,109
205,0.01,97,8,32.09,109
206,0.01,68,8,32.67,109
207,0.01,105,8,33.63,109
208,0.01,98,8,34.52,109
209,0.01,123,8,35.66,123
